name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperion,dpl_super_hyperion,Улучшенная канонерка,High Tech,phaseteleporter,25,2500,250,10000,6250,1000,65,,125,175,150,50,100,200,FRONT,,300,0.6,0.6,,,5,15,10,15,1,15,10,95000,8,40,120,0.25,15,15,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,0.75,2,2,202,,,,,,,
Hyperion,dpl_super_hyperion_boss,Улучшенная канонерка,High Tech,phaseteleporter,25,2500,250,10000,6250,1000,65,,125,175,150,50,100,200,FRONT,,300,0.6,0.6,,,5,15,10,15,1,15,10,95000,8,40,120,0.25,15,15,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,0.75,2,2,202,,,,,,,
Valkyrie Mk.II,dpl_valkyrie_II,Суперэсминец,High Tech,displacer,12,3000,300,6000,6667,550,125,,100,90,60,40,100,300,OMNI,,180,0.3,0.6,,,50,250,10,40,2,20,9,60000,5,20,300,0.25,10,10,HIDE_IN_CODEX,"no_autofit, restricted",,0.7,2,3,309,,,,,,,
Valkyrie Mk.II,dpl_valkyrie_II_boss,Суперэсминец,High Tech,displacer,12,3000,300,6000,6667,550,125,,100,90,60,40,100,300,OMNI,,180,0.3,0.6,,,50,250,10,40,2,20,9,60000,5,20,300,0.25,10,10,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,0.7,2,3,309,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vengeance,dpl_vengeance,Возмездие,Vengeance,highenergyfocus,9999,50000,3000,6000,20000,500,100,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0,0,100,150,150,200,4,50,9,200000,8,40,270,0.2,40,40,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,274,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiant,dpl_radiant_boss,Дрон-линкор,Remnant,displacer,30,20000,1500,35000,37500,2400,350,,40,30,20,7,10,3500,OMNI,,270,0.4,0.6,,,0,0,250,400,10,40,8,500000,3,15,720,0.25,60,60,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,0.4,2,4,509,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_node_large,Большой узел,Unknown,highenergyfocus,50,20000,1500,25000,37500,1500,430,7,40,30,20,7,10,3500,PHASE,dpl_energyfeed,0,0,0,,,0,0,250,400,10,40,8,500000,20,5,,,60,60,"SHIP_WITH_MODULES, HIDE_IN_CODEX, UNBOARDABLE","no_autofit, restricted",,0.4,2,4,509,,,,,,,
,dpl_node_type_I,Узел I,Unknown,highenergyfocus,32,8000,900,12000,12000,800,270,5,60,35,30,20,25,2000,PHASE,dpl_energyfeed,0,0,0,,,0,0,120,90,3,30,9,250000,20,5,,,40,40,"SHIP_WITH_MODULES, HIDE_IN_CODEX, UNBOARDABLE","no_autofit, restricted",,0.5,2,3,509,,,,,,,
,dpl_node_type_II,Узел II,Unknown,fastmissileracks,32,8000,900,12000,12000,800,300,5,40,30,20,7,10,3500,NONE,,,,,,,0,0,120,90,3,30,9,250000,20,5,,,40,40,"SHIP_WITH_MODULES, HIDE_IN_CODEX, UNBOARDABLE","no_autofit, restricted",,0.5,2,3,509,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_zealot,Фанатик,Unknown,burndrive,100,20000,3500,25000,37500,2000,5,4,40,30,20,7,10,3500,NONE,,0,0,0,,,0,0,250,400,10,40,8,500000,20,5,,,60,60,"HIDE_IN_CODEX, UNBOARDABLE","no_autofit, restricted",,0.4,2,4,509,,,,,,,
,dpl_apostle_engine,Апостол,Unknown,burndrive,100,20000,3500,25000,37500,2000,0,4,40,30,20,7,10,3500,NONE,,0,0,0,,,0,0,250,400,10,40,8,500000,20,5,,,60,60,"SHIP_WITH_MODULES, HIDE_IN_CODEX, UNBOARDABLE","no_autofit, restricted",,0.4,2,4,509,,,,,,,
,dpl_apostle_top,Модуль «Апостол»,Unknown,,100,20000,3500,25000,37500,2000,5,,0,0,0,10,10,3500,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"HIDE_IN_CODEX, UNBOARDABLE","no_autofit, restricted",,0,,,509,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Station,dpl_station1,Орбитальная станция,,,100,40000,1600,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,2002.2,,,,,,,
Battlestation,dpl_station2,Battlestation,,,200,80000,2000,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,2003.5,,,,,,,
Star Fortress,dpl_station3,Star Fortress,,dpl_drone_station,400,160000,2400,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,2004.5,,,,,,,
,dpl_station_shield,Щитовой модуль,,,1,5500,600,8000,25000,1000,0,,0,0,0,3,6,200,FRONT,,45,1,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,2071,,,,,,,
,dpl_station_citadal,Heavy Citadel,,dpl_energyfeed,1,4500,600,10000,25000,1000,1000,,0,0,0,3,6,1000,FRONT,,260,0.4,2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,2072,,,,,,,
,dpl_station_attack,Станционная батарея,,,1,5500,600,8000,25000,1000,1000,3,0,0,0,10,10,1000,NONE,,0,0.4,2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,2076,,,,,,,
,dpl_station_attack_minelayer,Станционная батарея,,mine_strike_station,1,5500,600,8000,25000,1000,1000,3,0,0,0,10,10,1000,NONE,,0,0.4,2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,2076,,,,,,,
,dpl_station_blocker,Station Structural Spur,,,1,5000,600,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2056,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_AA_Module_SacraMachina,ПВО-модуль,,,1,5500,1000,10000,25000,850,50,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_AA_Side,ПВО-модуль,,,1,5000,800,8500,25000,850,20,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_shield_frontal,Щитовой модуль,,,1,8500,1500,24000,25000,1200,20,,0,0,0,3,6,2000,OMNI,,30,0.85,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,2071,,,,,,,
,dpl_shield_side,Щитовой модуль,,,1,8500,1500,28000,25000,1200,20,,0,0,0,3,6,2000,OMNI,,45,0.85,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_shield_factory,Щитовой модуль,,,1,12000,1500,20000,15000,1200,0,,0,0,0,3,6,2000,FRONT,,160,0.4,0.6,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,2071,,,,,,,
,dpl_shield_module_I,Щитовой модуль,,dpl_phase_enhanced_shield,1,20000,1200,32000,25000,1000,14,,0,0,0,3,6,2000,FRONT,,270,0.4,0.6,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_gunnery_module_I,Орудийный модуль,,highenergyfocus,1,20000,1200,16000,25000,1250,150,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_gunnery_module_II,Орудийный модуль,,highenergyfocus,1,20000,1200,16000,25000,1250,90,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_gunnery_module_III,Орудийный модуль,,highenergyfocus,1,20000,1200,16000,25000,1250,90,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_factory_module_I,Станционная батарея,,,1,12000,1750,24000,25000,2000,1000,,0,0,0,10,10,1000,NONE,,0,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,2076,,,,,,,
,dpl_factory_module_II,Станционная батарея,,,1,12000,1750,24000,25000,2000,1000,,0,0,0,10,10,1000,NONE,,0,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,2076,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_energy_transition_module,Energy Transition Module,,,1,6000,1000,0,0,0,10,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_factory_station,Supremacy Factory,,,200,50000,1600,1000,2500,100,0,,30,200,200,3,3,6000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,2201,,,,,,,
,dpl_gate_station,Устройство HELA,,,200,50000,1600,1000,2500,100,0,,30,200,200,3,3,6000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,2201,,,,,,,
,dpl_gate_station_mkII,Устройство HELA,,,200,50000,1600,1000,2500,100,0,,30,200,200,3,3,6000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,2201,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_olympias,Mobile Station,,reservewing,200,80000,2500,32000,2500,2400,0,12,15,200,200,3,3,6000,OMNI,,360,0,0.6,,,0,0,0,0,1,0,5,500000,10,10,,,75,50,"SHIP_WITH_MODULES, HIDE_IN_CODEX, UNBOARDABLE","no_autofit, restricted",,0,,,2201,,,,,,,
,dpl_olympias_module_I,Станционная батарея,,highenergyfocus,1,15000,1750,24000,25000,2000,1000,,0,0,0,10,10,1000,NONE,,0,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,2076,,,,,,,
,dpl_olympias_module_II,Орудийный модуль,,highenergyfocus,1,15000,1200,16000,25000,1250,90,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_olympias_eng_left,Left Engine,,fastmissileracks,1,5000,1000,15000,5000,1200,28,,0,0,0,10,10,220,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,2104,,,,,,,
,dpl_olympias_eng_mid,Middle Engine,,fastmissileracks,1,5000,1000,15000,5000,1200,28,,0,0,0,10,10,220,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,2104,,,,,,,
,dpl_olympias_eng_right,Right Engine,,fastmissileracks,1,5000,1000,15000,5000,1200,28,,0,0,0,10,10,220,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,2104,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_ark,Ark,,ammofeed,80,40000,2000,40000,25000,3000,920,,40,30,20,3,2,5000,FRONT,,200,0.4,1,,,0,0,300,400,15,27,7,500000,3,12,,,120,120,"SHIP_WITH_MODULES, HIDE_IN_CODEX, UNBOARDABLE","no_autofit, restricted",,0,,,508,,,,,,,
,dpl_ark_front,Передний модуль,,ammofeed,1,15000,1500,16000,25000,1250,174,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,0,,,2071,,,,,,,
,dpl_ark_front_II,Передний модуль,,ammofeed,1,15000,1500,16000,25000,1250,174,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,0,,,2071,,,,,,,
,dpl_ark_back,Задний модуль,,ammofeed,1,15000,1500,16000,25000,1250,221,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,0,,,2071,,,,,,,
,dpl_ark_back_II,Задний модуль,,ammofeed,1,15000,1500,16000,25000,1250,221,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted",,0,,,2071,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
